FILE, angle,id
data/pic32.0000.png,0,0
data/pic32.0001.png,3.6,1
data/pic32.0002.png,7.2,2
data/pic32.0003.png,10.8,3
data/pic32.0004.png,14.4,4
data/pic32.0005.png,18,5
data/pic32.0006.png,21.6,6
data/pic32.0007.png,25.2,7
data/pic32.0008.png,28.8,8
data/pic32.0009.png,32.4,9
data/pic32.0010.png,36,10
data/pic32.0011.png,39.6,11
data/pic32.0012.png,43.2,12
data/pic32.0013.png,46.8,13
data/pic32.0014.png,50.4,14
data/pic32.0015.png,54,15
data/pic32.0016.png,57.6,16
data/pic32.0017.png,61.2,17
data/pic32.0018.png,64.8,18
data/pic32.0019.png,68.4,19
data/pic32.0020.png,72,20
data/pic32.0021.png,75.6,21
data/pic32.0022.png,79.2,22
data/pic32.0023.png,82.8,23
data/pic32.0024.png,86.4,24
data/pic32.0025.png,90,25
data/pic32.0026.png,93.6,26
data/pic32.0027.png,97.2,27
data/pic32.0028.png,100.8,28
data/pic32.0029.png,104.4,29
data/pic32.0030.png,108,30
data/pic32.0031.png,111.6,31
data/pic32.0032.png,115.2,32
data/pic32.0033.png,118.8,33
data/pic32.0034.png,122.4,34
data/pic32.0035.png,126,35
data/pic32.0036.png,129.6,36
data/pic32.0037.png,133.2,37
data/pic32.0038.png,136.8,38
data/pic32.0039.png,140.4,39
data/pic32.0040.png,144,40
data/pic32.0041.png,147.6,41
data/pic32.0042.png,151.2,42
data/pic32.0043.png,154.8,43
data/pic32.0044.png,158.4,44
data/pic32.0045.png,162,45
data/pic32.0046.png,165.6,46
data/pic32.0047.png,169.2,47
data/pic32.0048.png,172.8,48
data/pic32.0049.png,176.4,49
data/pic32.0050.png,180,50
data/pic32.0051.png,183.6,51
data/pic32.0052.png,187.2,52
data/pic32.0053.png,190.8,53
data/pic32.0054.png,194.4,54
data/pic32.0055.png,198,55
data/pic32.0056.png,201.6,56
data/pic32.0057.png,205.2,57
data/pic32.0058.png,208.8,58
data/pic32.0059.png,212.4,59
data/pic32.0060.png,216,60
data/pic32.0061.png,219.6,61
data/pic32.0062.png,223.2,62
data/pic32.0063.png,226.8,63
data/pic32.0064.png,230.4,64
data/pic32.0065.png,234,65
data/pic32.0066.png,237.6,66
data/pic32.0067.png,241.2,67
data/pic32.0068.png,244.8,68
data/pic32.0069.png,248.4,69
data/pic32.0070.png,252,70
data/pic32.0071.png,255.6,71
data/pic32.0072.png,259.2,72
data/pic32.0073.png,262.8,73
data/pic32.0074.png,266.4,74
data/pic32.0075.png,270,75
data/pic32.0076.png,273.6,76
data/pic32.0077.png,277.2,77
data/pic32.0078.png,280.8,78
data/pic32.0079.png,284.4,79
data/pic32.0080.png,288,80
data/pic32.0081.png,291.6,81
data/pic32.0082.png,295.2,82
data/pic32.0083.png,298.8,83
data/pic32.0084.png,302.4,84
data/pic32.0085.png,306,85
data/pic32.0086.png,309.6,86
data/pic32.0087.png,313.2,87
data/pic32.0088.png,316.8,88
data/pic32.0089.png,320.4,89
data/pic32.0090.png,324,90
data/pic32.0091.png,327.6,91
data/pic32.0092.png,331.2,92
data/pic32.0093.png,334.8,93
data/pic32.0094.png,338.4,94
data/pic32.0095.png,342,95
data/pic32.0096.png,345.6,96
data/pic32.0097.png,349.2,97
data/pic32.0098.png,352.8,98
data/pic32.0099.png,356.4,99
