sim,time,persistence,TimeValue,FILE
10,3.8,0.01,471,data/10_3.8_0.01_471.vtu
10,3.9,0.01,473,data/10_3.9_0.01_473.vtu
10,4,0.01,475,data/10_4_0.01_475.vtu
10,4.2,0.01,479,data/10_4.2_0.01_479.vtu
10,4.3,0.01,481,data/10_4.3_0.01_481.vtu
10,4.4,0.01,483,data/10_4.4_0.01_483.vtu
10,4.5,0.01,485,data/10_4.5_0.01_485.vtu
11,3.5,0.01,69,data/11_3.5_0.01_69.vtu
11,3.6,0.01,71,data/11_3.6_0.01_71.vtu
11,3.7,0.01,73,data/11_3.7_0.01_73.vtu
11,3.8,0.01,75,data/11_3.8_0.01_75.vtu
11,3.9,0.01,77,data/11_3.9_0.01_77.vtu
11,4,0.01,79,data/11_4_0.01_79.vtu
11,4.2,0.01,83,data/11_4.2_0.01_83.vtu
11,4.3,0.01,85,data/11_4.3_0.01_85.vtu
11,4.4,0.01,87,data/11_4.4_0.01_87.vtu
11,4.5,0.01,89,data/11_4.5_0.01_89.vtu
12,3.5,0.01,168,data/12_3.5_0.01_168.vtu
12,3.6,0.01,170,data/12_3.6_0.01_170.vtu
12,3.7,0.01,172,data/12_3.7_0.01_172.vtu
12,3.8,0.01,174,data/12_3.8_0.01_174.vtu
12,3.9,0.01,176,data/12_3.9_0.01_176.vtu
12,4,0.01,178,data/12_4_0.01_178.vtu
12,4.2,0.01,182,data/12_4.2_0.01_182.vtu
12,4.3,0.01,184,data/12_4.3_0.01_184.vtu
12,4.4,0.01,186,data/12_4.4_0.01_186.vtu
12,4.5,0.01,188,data/12_4.5_0.01_188.vtu
13,3.5,0.01,267,data/13_3.5_0.01_267.vtu
13,3.6,0.01,269,data/13_3.6_0.01_269.vtu
13,3.7,0.01,271,data/13_3.7_0.01_271.vtu
13,3.8,0.01,273,data/13_3.8_0.01_273.vtu
13,3.9,0.01,275,data/13_3.9_0.01_275.vtu
13,4,0.01,277,data/13_4_0.01_277.vtu
13,4.2,0.01,281,data/13_4.2_0.01_281.vtu
13,4.3,0.01,283,data/13_4.3_0.01_283.vtu
13,4.4,0.01,285,data/13_4.4_0.01_285.vtu
13,4.5,0.01,287,data/13_4.5_0.01_287.vtu
14,3.5,0.01,366,data/14_3.5_0.01_366.vtu
14,3.6,0.01,368,data/14_3.6_0.01_368.vtu
14,3.7,0.01,370,data/14_3.7_0.01_370.vtu
14,3.8,0.01,372,data/14_3.8_0.01_372.vtu
14,3.9,0.01,374,data/14_3.9_0.01_374.vtu
14,4,0.01,376,data/14_4_0.01_376.vtu
14,4.2,0.01,380,data/14_4.2_0.01_380.vtu
14,4.3,0.01,382,data/14_4.3_0.01_382.vtu
14,4.4,0.01,384,data/14_4.4_0.01_384.vtu
14,4.5,0.01,386,data/14_4.5_0.01_386.vtu
15,3.5,0.01,465,data/15_3.5_0.01_465.vtu
15,3.6,0.01,467,data/15_3.6_0.01_467.vtu
15,3.7,0.01,469,data/15_3.7_0.01_469.vtu
15,3.8,0.01,471,data/15_3.8_0.01_471.vtu
15,3.9,0.01,473,data/15_3.9_0.01_473.vtu
15,4,0.01,475,data/15_4_0.01_475.vtu
15,4.2,0.01,479,data/15_4.2_0.01_479.vtu
15,4.3,0.01,481,data/15_4.3_0.01_481.vtu
15,4.4,0.01,483,data/15_4.4_0.01_483.vtu
15,4.5,0.01,485,data/15_4.5_0.01_485.vtu
16,3.5,0.01,69,data/16_3.5_0.01_69.vtu
16,3.6,0.01,71,data/16_3.6_0.01_71.vtu
16,3.7,0.01,73,data/16_3.7_0.01_73.vtu
16,3.8,0.01,75,data/16_3.8_0.01_75.vtu
16,3.9,0.01,77,data/16_3.9_0.01_77.vtu
16,4,0.01,79,data/16_4_0.01_79.vtu
16,4.2,0.01,83,data/16_4.2_0.01_83.vtu
16,4.3,0.01,85,data/16_4.3_0.01_85.vtu
16,4.4,0.01,87,data/16_4.4_0.01_87.vtu
16,4.5,0.01,89,data/16_4.5_0.01_89.vtu
17,3.5,0.01,168,data/17_3.5_0.01_168.vtu
17,3.6,0.01,170,data/17_3.6_0.01_170.vtu
17,3.7,0.01,172,data/17_3.7_0.01_172.vtu
17,3.8,0.01,174,data/17_3.8_0.01_174.vtu
17,3.9,0.01,176,data/17_3.9_0.01_176.vtu
17,4,0.01,178,data/17_4_0.01_178.vtu
17,4.2,0.01,182,data/17_4.2_0.01_182.vtu
17,4.3,0.01,184,data/17_4.3_0.01_184.vtu
17,4.4,0.01,186,data/17_4.4_0.01_186.vtu
17,4.5,0.01,188,data/17_4.5_0.01_188.vtu
18,3.5,0.01,267,data/18_3.5_0.01_267.vtu
18,3.6,0.01,269,data/18_3.6_0.01_269.vtu
18,3.7,0.01,271,data/18_3.7_0.01_271.vtu
18,3.8,0.01,273,data/18_3.8_0.01_273.vtu
18,3.9,0.01,275,data/18_3.9_0.01_275.vtu
18,4,0.01,277,data/18_4_0.01_277.vtu
18,4.2,0.01,281,data/18_4.2_0.01_281.vtu
18,4.3,0.01,283,data/18_4.3_0.01_283.vtu
18,4.4,0.01,285,data/18_4.4_0.01_285.vtu
18,4.5,0.01,287,data/18_4.5_0.01_287.vtu
19,3.5,0.01,366,data/19_3.5_0.01_366.vtu
19,3.6,0.01,368,data/19_3.6_0.01_368.vtu
19,3.7,0.01,370,data/19_3.7_0.01_370.vtu
19,3.8,0.01,372,data/19_3.8_0.01_372.vtu
19,3.9,0.01,374,data/19_3.9_0.01_374.vtu
19,4,0.01,376,data/19_4_0.01_376.vtu
19,4.2,0.01,380,data/19_4.2_0.01_380.vtu
19,4.3,0.01,382,data/19_4.3_0.01_382.vtu
19,4.4,0.01,384,data/19_4.4_0.01_384.vtu
19,4.5,0.01,386,data/19_4.5_0.01_386.vtu
20,3.5,0.01,69,data/20_3.5_0.01_69.vtu
20,3.6,0.01,71,data/20_3.6_0.01_71.vtu
20,3.7,0.01,73,data/20_3.7_0.01_73.vtu
20,3.8,0.01,75,data/20_3.8_0.01_75.vtu
20,3.9,0.01,77,data/20_3.9_0.01_77.vtu
20,4,0.01,79,data/20_4_0.01_79.vtu
20,4.2,0.01,83,data/20_4.2_0.01_83.vtu
20,4.3,0.01,85,data/20_4.3_0.01_85.vtu
20,4.4,0.01,87,data/20_4.4_0.01_87.vtu
20,4.5,0.01,89,data/20_4.5_0.01_89.vtu
21,3.5,0.01,168,data/21_3.5_0.01_168.vtu
21,3.6,0.01,170,data/21_3.6_0.01_170.vtu
21,3.7,0.01,172,data/21_3.7_0.01_172.vtu
21,3.8,0.01,174,data/21_3.8_0.01_174.vtu
21,3.9,0.01,176,data/21_3.9_0.01_176.vtu
21,4,0.01,178,data/21_4_0.01_178.vtu
21,4.2,0.01,182,data/21_4.2_0.01_182.vtu
21,4.3,0.01,184,data/21_4.3_0.01_184.vtu
21,4.4,0.01,186,data/21_4.4_0.01_186.vtu
21,4.5,0.01,188,data/21_4.5_0.01_188.vtu
22,3.5,0.01,267,data/22_3.5_0.01_267.vtu
22,3.6,0.01,269,data/22_3.6_0.01_269.vtu
22,3.7,0.01,271,data/22_3.7_0.01_271.vtu
22,3.8,0.01,273,data/22_3.8_0.01_273.vtu
22,3.9,0.01,275,data/22_3.9_0.01_275.vtu
22,4,0.01,277,data/22_4_0.01_277.vtu
22,4.2,0.01,281,data/22_4.2_0.01_281.vtu
22,4.3,0.01,283,data/22_4.3_0.01_283.vtu
22,4.4,0.01,285,data/22_4.4_0.01_285.vtu
22,4.5,0.01,287,data/22_4.5_0.01_287.vtu
23,3.5,0.01,366,data/23_3.5_0.01_366.vtu
23,3.6,0.01,368,data/23_3.6_0.01_368.vtu
23,3.7,0.01,370,data/23_3.7_0.01_370.vtu
23,3.8,0.01,372,data/23_3.8_0.01_372.vtu
23,3.9,0.01,374,data/23_3.9_0.01_374.vtu
