"Tree00","Tree01","Tree02","Tree03","Tree04","Tree05","Tree06","Tree07","Tree08","Tree09","Tree10","Tree11","Tree12","Tree13","Tree14","treeID","ClusterAssignment","ParentBlockId","Component_0","Component_1","Points:0","Points:1","Points:2"
8.9349,11.447,15.827,16.677,19.338,17.259,16.374,15.012,3.3169,1.2099,1.1403,3.2103,0,16.981,13.212,12,0,1,-2.9137,9.6586,-2.9137,9.6586,0
8.0724,5.5787,1.491,1.0801,2.3976,0.92742,0.95077,2.248,13.721,16.015,18.041,20.173,16.981,0,3.8084,13,1,1,1.5488,-6.8329,1.5488,-6.8329,0
4.3081,1.8641,2.6972,3.5498,6.1568,4.1612,3.2291,2.0802,9.9575,12.251,14.271,16.404,13.212,3.8084,0,14,2,1,0.12706,-3.2287,0.12706,-3.2287,0
